Time_s,Voltage_mV
1.045,-0.43185
1.046,-0.439961
1.047,-0.446449
1.048,-0.456182
1.049,-0.46332
1.05,-0.470457
1.051,-0.473377
1.052,-0.472404
1.053,-0.475323
1.054,-0.467537
1.055,-0.458453
1.056,-0.46332
1.057,-0.489274
1.058,-0.506144
1.059,-0.530801
1.06,-0.546373
1.061,-0.547996
1.062,-0.547671
1.063,-0.559351
1.064,-0.574274
1.065,-0.582385
1.066,-0.597958
1.067,-0.612881
1.068,-0.629103
1.069,-0.640782
1.07,-0.651813
1.071,-0.655706
1.072,-0.657977
1.073,-0.663168
1.074,-0.673874
1.075,-0.686851
1.076,-0.705668
1.077,-0.724485
1.078,-0.746222
1.079,-0.778989
1.08,-0.804295
1.081,-0.82376
1.082,-0.850039
1.083,-0.882158
1.084,-0.900326
1.085,-0.902921
1.086,-0.901623
1.087,-0.887673
1.088,-0.857825
1.089,-0.819218
1.09,-0.770878
1.091,-0.717023
1.092,-0.660897
1.093,-0.605095
1.094,-0.537289
1.095,-0.466888
1.096,-0.400056
1.097,-0.341983
1.098,-0.301105
1.099,-0.262498
1.1,-0.229082
1.101,-0.196639
1.102,-0.168089
1.103,-0.150245
1.104,-0.14765
1.105,-0.142134
1.106,-0.129157
1.107,-0.112611
1.108,-0.09639
1.109,-0.082764
1.11,-0.075951
1.111,-0.077573
1.112,-0.071733
1.113,-0.056485
1.114,-0.036695
1.115,-0.034099
1.116,-0.044157
1.117,-0.047077
1.118,-0.040264
1.119,-0.031828
1.12,-0.031828
1.121,-0.028909
1.122,-0.027935
1.123,-0.021447
1.124,-0.012687
1.125,-0.007172
1.126,-0.002305
1.127,0.004832
1.128,0.012943
1.129,0.017485
1.13,0.021378
1.131,0.02008
1.132,0.017485
1.133,0.020405
1.134,0.024947
1.135,0.026245
1.136,0.025271
1.137,0.014565
1.138,0.014889
1.139,0.017485
1.14,0.02008
1.141,0.022027
1.142,0.023973
1.143,0.028516
1.144,0.032733
1.145,0.023973
1.146,0.017809
1.147,0.010347
1.148,0.011321
1.149,0.002561
1.15,-0.003603
1.151,-0.004252
1.152,-0.002305
1.153,-0.003927
1.154,-0.003927
1.155,-0.004576
1.156,-0.016905
1.157,-0.023069
1.158,-0.021447
1.159,-0.014634
1.16,-0.011714
1.161,-0.011389
1.162,-0.014958
1.163,-0.023393
1.164,-0.033775
1.165,-0.035722
1.166,-0.031504
1.167,-0.035397
1.168,-0.042859
1.169,-0.037668
1.17,-0.026638
1.171,-0.013985
1.172,-3.43E-05
1.173,0.003859
1.174,-0.000683
1.175,-0.00263
1.176,-0.001981
1.177,-0.004576
1.178,-0.004901
1.179,-0.001981
1.18,-0.000359
1.181,0.00321
1.182,0.005805
1.183,0.000939
1.184,-0.005225
1.185,-3.43E-05
1.186,0.007752
1.187,0.015538
1.188,0.021378
1.189,0.013592
1.19,0.003859
1.191,-0.004252
1.192,-0.010092
1.193,-0.006847
1.194,0.007428
1.195,0.015538
1.196,0.018134
1.197,0.019107
1.198,0.022676
1.199,0.023325
1.2,0.021378
1.201,0.018458
1.202,0.013267
1.203,0.022351
1.204,0.030462
1.205,0.035653
1.206,0.034355
1.207,0.031435
1.208,0.039871
1.209,0.058039
1.21,0.074585
1.211,0.075558
1.212,0.081073
1.213,0.088859
1.214,0.089833
1.215,0.091455
1.216,0.093726
1.217,0.090157
1.218,0.086264
1.219,0.084317
1.22,0.092753
1.221,0.111894
1.222,0.132982
1.223,0.153097
1.224,0.178402
1.225,0.204681
1.226,0.229662
1.227,0.252696
1.228,0.271189
1.229,0.277678
1.23,0.277678
1.231,0.277678
1.232,0.273136
1.233,0.264051
1.234,0.26178
1.235,0.262754
1.236,0.266647
1.237,0.2647
1.238,0.252696
1.239,0.231933
1.24,0.191055
1.241,0.141417
1.242,0.103459
1.243,0.084966
1.244,0.083669
1.245,0.089833
1.246,0.085615
1.247,0.073936
1.248,0.071016
1.249,0.074585
1.25,0.092428
1.251,0.083669
1.252,0.055119
1.253,0.03176
1.254,0.024298
1.255,0.033706
1.256,0.039546
1.257,0.037924
1.258,0.022676
1.259,0.010672
1.26,0.008401
1.261,0.011321
1.262,0.019431
1.263,0.029813
1.264,0.037275
1.265,0.043439
1.266,0.051874
1.267,0.056416
1.268,0.058363
1.269,0.056092
1.27,0.059012
1.271,0.063229
1.272,0.063554
1.273,0.0655
1.274,0.073287
1.275,0.076531
1.276,0.07426
1.277,0.066798
1.278,0.066798
1.279,0.071016
1.28,0.071989
1.281,0.064527
1.282,0.058363
1.283,0.058363
1.284,0.063554
1.285,0.07426
1.286,0.075233
1.287,0.07426
1.288,0.068096
1.289,0.067447
1.29,0.069718
1.291,0.078802
1.292,0.08594
1.293,0.092104
1.294,0.095997
1.295,0.095024
1.296,0.098917
1.297,0.112867
1.298,0.11968
1.299,0.113516
1.3,0.107676
1.301,0.100214
1.302,0.095997
1.303,0.096646
1.304,0.107027
1.305,0.10865
1.306,0.077829
1.307,0.015863
1.308,-0.046103
1.309,-0.135646
1.31,-0.279693
1.311,-0.461049
1.312,-0.656355
1.313,-0.846795
1.314,-1.004143
1.315,-1.096281
1.316,-1.120937
1.317,-1.0713
1.318,-0.93504
1.319,-0.739084
1.32,-0.469159
1.321,-0.12494
1.322,0.306876
1.323,0.756861
1.324,1.195166
1.325,1.627632
1.326,2.03609
1.327,2.394911
1.328,2.715449
1.329,2.952609
1.33,3.10866
1.331,3.167058
1.332,3.094385
1.333,2.884478
1.334,2.569455
1.335,2.20447
1.336,1.828454
1.337,1.472554
1.338,1.136768
1.339,0.843483
1.34,0.629035
1.341,0.471687
1.342,0.384091
1.343,0.353594
1.344,0.348079
1.345,0.356838
1.346,0.371762
1.347,0.369491
1.348,0.345159
1.349,0.317907
1.35,0.293575
1.351,0.262105
1.352,0.240044
1.353,0.218631
1.354,0.198192
1.355,0.174184
1.356,0.141093
1.357,0.10573
1.358,0.080424
1.359,0.064527
1.36,0.068096
1.361,0.066474
1.362,0.055768
1.363,0.043439
1.364,0.022676
1.365,-0.001656
1.366,-0.012038
1.367,-0.013985
1.368,-0.014958
1.369,-0.00555
1.37,-0.011714
1.371,-0.028909
1.372,-0.041886
1.373,-0.045779
1.374,-0.043508
1.375,-0.040912
1.376,-0.049672
1.377,-0.062649
1.378,-0.06492
1.379,-0.061351
1.38,-0.053241
1.381,-0.049996
1.382,-0.051294
1.383,-0.056809
1.384,-0.059729
1.385,-0.065894
1.386,-0.073031
1.387,-0.082764
1.388,-0.079844
1.389,-0.0766
1.39,-0.077249
1.391,-0.080817
1.392,-0.095417
1.393,-0.101256
1.394,-0.103203
1.395,-0.113585
1.396,-0.121371
1.397,-0.125913
1.398,-0.1191
1.399,-0.114882
1.4,-0.111962
1.401,-0.121695
1.402,-0.126886
